Keyword;Position;Previous position;Search Volume;Keyword Difficulty;CPC;URL;Traffic;Traffic (%);Traffic Cost;Competition;Number of Results;Trends;Timestamp;SERP Features by Keyword;Keyword Intents;Position Type
teacher appreciation week;89;89;135000;64;0,5;https://educationwalkthrough.com/teacher-appreciation-week-ideas/;0;0;0;0,4;76600000;1,1,4,3,4,3,3,7,10,20,81,100;23/7/2025;Instant answer, Knowledge panel, Image pack, Video, People also ask, Related searches, Things to know, Discussions and forums;informational;Organic
pedagogy;35;35;74000;64;0,52;https://educationwalkthrough.com/understanding-pedagogy-a-guide-to-effective-teaching/;0;0;0;0;32800000;54,36,54,67,67,67,36,67,67,54,67,67;23/7/2025;Instant answer, Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know;informational;Organic
pedagogy pedagogy;56;56;22200;57;0,52;https://educationwalkthrough.com/understanding-pedagogy-a-guide-to-effective-teaching/;0;0;0;0;32700000;1,2,3,0,0,0,1,0,16,100,66,66;22/7/2025;Knowledge panel, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview;informational;Organic
walkthrough;18;18;12100;56;0;https://educationwalkthrough.com/;18;0,5;0;0;167000000;44,44,44,44,54,36,36,44,44,54,54,54;23/7/2025;Instant answer, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know;informational;Organic
iste;26;26;8100;63;8,5;https://educationwalkthrough.com/what-is-iste/;1;0,02;8;0,04;168000000;81,24,29,36,29,19,19,29,24,29,44,29;23/7/2025;Image pack, Sitelinks, Video, Ads top, Ads bottom, Twitter carousel, Related searches;commercial, navigational;Organic
school principal;24;24;8100;37;0;https://educationwalkthrough.com/principal-of-a-school/;5;0,14;0;0;1180000000;54,44,54,54,54,24,19,29,24,19,10,16;22/7/2025;Knowledge panel, Top stories, Image pack, Video, Featured snippet, People also ask, Related searches, AI overview;informational;Organic
observations;2;0;6600;59;8,58;https://educationwalkthrough.com/making-observations-a-guide-to-gathering-data-for-school-administrators/;0;0;0;0;501000000;16,19,44,29,29,19,29,29,24,29,19,29;24/7/2025;Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview;informational;Things to know
observations;1;0;6600;59;8,58;https://educationwalkthrough.com/top-50-look-fors-during-classroom-observations/;13;0,36;111;0;501000000;16,19,44,29,29,19,29,29,24,29,19,29;24/7/2025;Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview;informational;People also ask
teacher appreciation week ideas;50;50;6600;30;0,29;https://educationwalkthrough.com/teacher-appreciation-week-ideas/;0;0;0;0,95;35600000;0,1,0,0,0,0,0,1,2,6,24,36;23/7/2025;Sitelinks, Video, Image, People also ask, Related searches, AI overview;informational;Organic
principal of school;25;28;5400;30;0;https://educationwalkthrough.com/principal-of-a-school/;8;0,22;0;0;1260000000;66,44,66,54,54,81,44,81,100,66,66,66;24/7/2025;Image pack, Video, Related searches, AI overview;informational;Organic
